id,ra,dec,photo_z,density,overdensity,s_cluster,s_filament,environment,group_id,n_g,galaxy_type,flag
895090,150.105622,2.656855,0.9807,7.69,3.31,0.172465,0.233520,filament,5014,10,satellite,0
895032,150.140298,2.659028,0.3488,9.25,3.69,0.758377,0.259817,cluster,357,65,satellite,0
895007,149.985371,2.658004,0.9790,7.99,3.44,0.178599,0.147201,cluster,5288,5,satellite,0
894985,149.907907,2.658833,1.1368,5.94,3.00,0.311847,0.639596,filament,6613,2,satellite,0
894954,149.870772,2.659030,0.8785,2.74,1.12,0.000000,0.078091,filament,3700,85,satellite,0
894495,150.475099,2.656484,0.6300,7.68,3.28,0.324932,0.182750,cluster,1827,3,satellite,0
894951,150.448082,2.658160,0.7336,1.36,0.54,0.000366,0.008156,field,2632,3,satellite,0
894889,149.954799,2.658767,0.8574,1.80,0.72,0.001974,0.044044,filament,3767,5,satellite,0
894850,150.408301,2.655363,0.2300,5.81,2.10,0.705148,0.282403,cluster,101,34,satellite,0
894824,150.394579,2.658520,0.7272,7.45,3.01,0.057498,0.027076,field,2529,9,satellite,0
894812,150.045398,2.658723,0.8186,4.70,1.86,0.019706,0.014721,field,2888,13,satellite,0
894809,150.742505,2.656969,0.8708,6.13,2.48,0.187557,0.162601,cluster,2920,40,satellite,0
894765,150.635139,2.658726,1.1391,1.77,0.90,0.052009,0.030825,field,6666,4,satellite,0
894735,149.722928,2.657169,0.4782,3.04,1.22,0.005158,0.006169,field,952,10,satellite,0
894636,149.955792,2.658301,0.8536,1.90,0.76,0.003061,0.038457,filament,3767,5,satellite,0
894545,149.960122,2.656363,0.8857,28.48,11.67,0.590890,0.454573,cluster,3953,33,satellite,0
894910,150.431727,2.658609,1.1754,1.08,0.58,0.000146,0.001019,field,6958,2,satellite,0
895312,150.743407,2.657857,0.8492,7.14,2.86,0.474647,0.388545,cluster,2920,40,satellite,0
954746,150.585763,2.750400,0.3454,3.71,1.48,0.093590,0.150246,filament,342,48,satellite,0
954709,150.448189,2.750476,0.7931,31.18,12.29,0.498449,0.568055,filament,2774,90,satellite,0
316236,150.276498,1.768985,0.6731,1.35,0.56,0.000860,0.003758,field,2103,3,satellite,0
316108,150.124059,1.767922,0.9692,2.67,1.15,0.013314,0.048901,filament,5108,2,satellite,0
316078,149.507545,1.766440,0.5773,18.18,7.64,0.720662,0.482093,cluster,1363,18,satellite,0
315943,150.456503,1.767267,0.5912,3.31,1.43,0.107773,0.058290,field,1516,4,satellite,0
315902,150.179612,1.767179,0.3528,17.20,6.89,0.506507,0.231022,cluster,362,62,satellite,0
315888,149.991795,1.766867,0.3361,3.54,1.41,0.067418,0.118955,filament,346,32,satellite,0
315785,149.706625,1.767693,0.9814,1.05,0.45,0.000000,0.025770,field,5233,2,satellite,0
315745,149.805242,1.764036,0.7092,1.58,0.64,0.000473,0.002714,field,2419,8,satellite,0
315727,150.179642,1.764648,0.3886,2.15,0.86,0.000026,0.017892,filament,634,2,satellite,0
316277,149.575274,1.765447,0.5834,11.38,4.88,0.146226,0.815535,filament,1468,9,satellite,0
315549,149.761704,1.767782,0.5752,3.33,1.40,0.166330,0.096449,cluster,1426,8,satellite,0
315406,150.377805,1.767798,0.9227,10.04,4.24,0.127661,0.165735,filament,4345,11,satellite,0
315371,150.244543,1.764989,0.6101,4.63,1.99,0.069137,0.050528,field,1704,3,satellite,0
315339,149.511865,1.766999,1.1280,1.51,0.75,0.044612,0.021896,field,6445,3,satellite,0
315333,150.168848,1.765274,0.3304,13.44,5.31,0.695020,0.487080,cluster,362,62,satellite,0
315292,150.394167,1.767598,0.9141,2.50,1.05,0.047917,0.061593,filament,4345,11,satellite,0
315266,149.597924,1.765858,0.5830,3.65,1.57,0.210315,0.708704,filament,1468,9,satellite,0
315228,149.462685,1.765843,0.5746,6.59,2.77,0.545401,0.471146,cluster,1454,3,satellite,0
315194,149.508458,1.763698,0.1986,1.00,0.35,0.034605,0.034745,filament,64,4,satellite,0
315136,150.056768,1.765313,0.4209,2.69,1.10,0.170644,0.130648,cluster,621,16,satellite,0
315442,149.617214,1.766215,0.4540,2.85,1.16,0.039099,0.059941,filament,876,3,satellite,0
316425,149.939130,1.775719,0.3502,3.41,1.36,0.026260,0.080978,filament,448,13,satellite,0
954730,149.855077,2.751971,0.8419,2.64,1.05,0.005585,0.036900,filament,3571,10,satellite,0
316456,150.377536,1.769505,0.9145,8.07,3.38,0.134466,0.083301,field,4345,11,satellite,0
954038,150.114869,2.751833,0.7328,3.22,1.29,0.096611,0.074107,field,2567,22,satellite,0
954680,149.459687,2.752088,0.7073,5.06,2.07,0.012646,0.025205,filament,2461,3,satellite,0
954678,150.679775,2.751697,0.8280,1.76,0.70,0.004825,0.004578,field,3346,3,satellite,0
954661,150.398926,2.751429,0.7903,20.41,8.04,0.585887,0.365035,cluster,2774,90,satellite,0
954614,150.708444,2.750815,0.6669,2.89,1.20,0.085583,0.068934,field,1993,6,satellite,0
954604,150.071204,2.753305,0.9494,1.66,0.71,0.038927,0.085770,filament,4749,3,satellite,0
954538,150.238054,2.751576,0.9206,8.92,3.75,0.525234,0.162054,cluster,4375,16,satellite,0
954480,150.239026,2.751911,1.1270,2.42,1.20,0.250705,0.244721,cluster,6433,3,satellite,0
954475,149.497456,2.753113,1.0608,4.40,2.07,0.459790,0.469078,filament,5882,3,satellite,0
954455,149.859794,2.749552,0.8499,4.72,1.89,0.048338,0.238483,filament,3571,10,satellite,0
954020,150.399430,2.751080,0.8061,16.23,6.43,0.627506,0.321193,cluster,2774,90,satellite,0
954417,150.490749,2.752400,1.1991,2.99,1.67,0.299358,0.325208,filament,7022,10,satellite,0
954265,149.900438,2.751137,0.8498,8.30,3.32,0.188929,0.133898,cluster,3700,85,satellite,0
954235,150.118635,2.752006,1.1624,2.83,1.49,0.055799,0.035220,field,6846,2,satellite,0
954231,150.151687,2.752389,1.0820,1.96,0.94,0.143475,0.102921,field,6052,2,satellite,0
954138,150.140716,2.752055,1.1742,4.29,2.32,0.104295,0.127366,filament,7021,2,satellite,0
954127,149.995191,2.750425,0.7324,3.48,1.40,0.004613,0.004642,field,2638,2,satellite,0
954095,150.332778,2.750131,1.1336,7.63,3.85,0.493236,0.436718,cluster,6489,17,satellite,0
954083,150.570185,2.749315,0.3248,4.12,1.63,0.231245,0.134565,cluster,342,48,satellite,0
954072,149.853723,2.750304,0.8626,11.39,4.59,0.135854,0.439336,filament,3571,10,satellite,0
954055,149.484874,2.749576,0.2657,2.73,1.02,0.103033,0.151389,filament,198,4,satellite,0
954310,150.379660,2.751161,0.6902,3.04,1.25,0.025270,0.029644,filament,2313,6,satellite,0
315101,149.698322,1.764825,0.6678,9.02,3.73,0.172151,0.105329,cluster,1894,8,satellite,0
895316,150.094634,2.659441,1.1699,7.18,3.84,0.209503,0.229558,filament,6959,2,satellite,0
895375,150.726422,2.659421,0.9235,4.14,1.75,0.031471,0.119153,filament,4504,7,satellite,0
504036,149.919789,2.065419,0.6657,5.44,2.26,0.255807,0.311074,filament,1907,43,satellite,0
504031,150.045011,2.063471,0.3097,3.31,1.28,0.039305,0.063906,filament,262,6,satellite,0
504013,150.355912,2.065722,0.8711,1.16,0.47,0.000004,0.016688,field,3899,2,satellite,0
503996,149.555983,2.067035,0.9655,8.29,3.58,0.156452,0.076063,field,4848,8,satellite,0
503955,150.373473,2.065387,0.9155,2.24,0.94,0.046293,0.107453,filament,4353,2,satellite,0
503856,150.400911,2.064116,1.0046,6.34,2.74,0.241099,0.139473,cluster,5314,5,satellite,0
503827,150.411407,2.065199,0.2950,12.39,4.74,0.422400,0.535911,filament,226,8,satellite,0
503826,150.411009,2.064639,0.3199,25.02,9.84,0.698575,0.615552,cluster,246,67,satellite,0
503788,150.454723,2.065841,0.8243,15.78,6.25,0.123662,0.064372,field,3239,10,satellite,0
504052,150.093997,2.063593,0.7235,1.95,0.79,0.002870,0.005451,field,2581,2,satellite,0
503785,150.213226,2.064836,0.3696,18.11,7.26,0.141256,0.060152,cluster,484,42,satellite,0
473721,150.294346,2.019233,0.9272,3.54,1.50,0.024722,0.093077,filament,4396,12,satellite,0
473708,150.361101,2.016335,0.7097,1.86,0.76,0.000999,0.002222,field,2431,2,satellite,0
473678,150.353397,2.023948,0.7900,3.52,1.39,0.201483,0.244981,filament,2839,58,satellite,0
473668,150.606603,2.018475,0.6810,3.10,1.27,0.004868,0.006133,field,2146,3,satellite,0
473661,150.508843,2.018315,0.8688,4.43,1.79,0.025252,0.215677,filament,3793,11,satellite,0
473590,149.444227,2.018422,0.6643,2.07,0.86,0.163048,0.086511,cluster,2028,10,satellite,0
473560,150.429777,2.018960,0.8574,2.36,0.94,0.000818,0.015600,field,3729,3,satellite,0
473472,150.470818,2.017803,0.9646,1.98,0.85,0.001308,0.008959,field,4976,3,satellite,0
473430,150.362676,2.017119,0.3121,5.21,2.01,0.253217,0.509616,filament,246,67,satellite,0
503769,150.114874,2.066305,1.1991,0.64,0.36,0.000000,0.000035,field,6700,19,satellite,0
504056,150.147311,2.064502,0.7074,16.04,6.55,0.162489,0.136309,cluster,2278,19,satellite,0
473367,150.336875,2.018307,0.8651,2.06,0.83,0.003720,0.010768,field,3853,2,satellite,0
504075,150.467731,2.063995,0.5485,24.72,10.11,0.684825,0.572466,cluster,1327,25,satellite,0
504091,149.849778,2.064617,0.3949,1.60,0.64,0.002008,0.005998,field,639,2,satellite,0
504816,150.504399,2.066958,0.5553,4.30,1.77,0.426552,0.458635,filament,1327,25,satellite,0
504805,150.431824,2.065888,0.6576,2.54,1.06,0.018336,0.018751,field,1955,5,satellite,0
504790,150.610363,2.067825,0.6613,0.75,0.31,0.000000,0.011172,field,2032,2,satellite,0
504777,150.450043,2.065454,0.8702,6.69,2.71,0.079231,0.062442,field,3735,9,satellite,0
504737,150.095043,2.070291,1.0155,1.47,0.64,0.002895,0.021789,field,5668,2,satellite,0
504718,150.490086,2.069376,0.4143,12.33,5.00,0.770631,0.271473,cluster,713,40,satellite,0
504686,150.177391,2.067743,0.9176,2.07,0.87,0.000000,0.136515,filament,4402,16,satellite,0
504681,149.557716,2.067220,0.9762,10.74,4.63,0.239894,0.098229,cluster,4848,8,satellite,0
504635,150.094467,2.066852,1.1849,2.49,1.37,0.026587,0.101417,filament,6700,19,satellite,0
504082,149.475067,2.066321,0.9711,3.50,1.52,0.010391,0.032309,filament,4838,47,satellite,0
504620,150.146165,2.064043,0.7091,17.41,7.11,0.115352,0.094569,field,2278,19,satellite,0
504492,150.720184,2.067135,1.1371,1.65,0.83,0.009215,0.034100,filament,6573,2,satellite,0
504486,150.466007,2.065369,0.6564,1.18,0.49,0.000000,0.056285,filament,1906,3,satellite,0
504446,150.236140,2.067056,0.9000,2.67,1.11,0.011108,0.014119,field,4063,3,satellite,0
504417,150.684282,2.066265,0.3310,5.92,2.34,0.297972,0.180575,cluster,350,12,satellite,0
504362,150.505354,2.065014,0.4211,12.88,5.24,0.681653,0.587621,cluster,713,40,satellite,0
504334,149.581963,2.067097,0.9995,2.76,1.19,0.015103,0.025666,field,5373,3,satellite,0
504199,149.716743,2.065897,0.9565,1.47,0.63,0.000723,0.013888,field,4896,5,satellite,0
504172,149.832515,2.066018,1.1390,2.38,1.22,0.087458,0.240045,filament,6458,3,satellite,0
504142,150.049760,2.065960,0.6698,6.30,2.61,0.052741,0.063084,filament,2035,4,satellite,0
504546,150.212660,2.065650,0.3734,18.19,7.29,0.058313,0.042426,field,484,42,satellite,0
895334,149.973308,2.659978,1.1344,1.39,0.70,0.001409,0.005231,field,6384,4,satellite,0
473299,149.530730,2.017680,0.5930,7.59,3.27,0.222226,0.209547,cluster,1581,5,satellite,0
473220,149.889009,2.021192,0.5984,2.39,1.03,0.011505,0.139876,filament,1524,3,satellite,0
472073,150.615394,2.015698,0.6716,3.45,1.43,0.018764,0.015318,field,2146,3,satellite,0
472001,150.391968,2.015546,0.7040,3.45,1.41,0.002988,0.007231,field,2429,2,satellite,0
471954,149.928008,2.015840,1.0815,1.23,0.59,0.010224,0.025090,field,5996,2,satellite,0
471931,150.697120,2.014201,0.4401,6.96,2.82,0.707118,0.296961,cluster,737,26,satellite,0
471922,150.369164,2.015062,0.8213,12.96,5.13,0.378820,0.212908,cluster,2839,58,satellite,0
471876,150.395869,2.015731,0.7444,1.24,0.49,0.007677,0.023389,filament,2672,2,satellite,0
471850,150.689892,2.015060,1.1537,9.40,4.89,0.387342,0.204028,cluster,6632,6,satellite,0
471847,150.436923,2.013866,0.5222,2.30,0.92,0.017819,0.081468,filament,1223,3,satellite,0
471839,150.033570,2.013076,0.2259,1.73,0.62,0.003808,0.025157,filament,77,5,satellite,0
472090,149.862153,2.013092,0.6203,7.27,3.12,0.261723,0.105820,cluster,1673,8,satellite,0
471833,149.429705,2.012371,0.6828,7.36,3.03,0.108000,0.022231,field,2028,10,satellite,0
471803,150.476001,2.014234,0.6629,6.99,2.91,0.107853,0.185636,filament,1949,11,satellite,0
471741,150.330444,2.013227,0.3109,9.53,3.68,0.107428,0.479682,filament,246,67,satellite,0
471736,149.650742,2.015406,1.0572,1.96,0.92,0.080216,0.116917,filament,5855,3,satellite,0
471715,150.481588,2.015301,1.1423,0.89,0.45,0.047288,0.107594,filament,6631,3,satellite,0
471683,149.738996,2.014654,0.9108,1.48,0.62,0.006626,0.005935,field,4239,3,satellite,0
471634,149.909233,2.013081,0.8473,5.90,2.35,0.069856,0.059112,field,3369,6,satellite,0
471632,149.757486,2.014332,0.9300,1.61,0.69,0.014203,0.016675,field,4548,3,satellite,0
895379,149.493214,2.659717,1.0107,0.82,0.36,0.000917,0.001868,field,5551,2,satellite,0
895377,150.020361,2.659446,0.9064,3.89,1.62,0.040985,0.112844,filament,4098,15,satellite,0
471819,149.744148,2.012279,0.5037,3.25,1.29,0.079347,0.135488,filament,1080,3,satellite,0
472177,150.379748,2.014697,0.8388,7.59,3.02,0.037108,0.166079,filament,2839,58,satellite,0
473237,149.914259,2.017269,0.6758,1.75,0.72,0.000369,0.000639,field,2026,3,satellite,0
472180,150.478651,2.014623,0.6599,8.55,3.57,0.222659,0.184706,cluster,1949,11,satellite,0
472236,150.418212,2.015686,0.9408,3.28,1.41,0.004633,0.037752,filament,4707,2,satellite,0
473122,150.404799,2.016529,0.4031,2.90,1.17,0.013313,0.207286,filament,686,2,satellite,0
473094,150.696311,2.017504,1.1859,2.36,1.30,0.082976,0.189184,filament,7122,4,satellite,0
473003,150.201291,2.017354,0.9700,1.99,0.86,0.004266,0.010432,field,5040,3,satellite,0
472986,149.986799,2.017977,0.9385,1.69,0.72,0.000354,0.027268,field,4644,4,satellite,0
472984,149.963589,2.015980,0.3824,0.90,0.36,0.000022,0.000023,field,603,3,satellite,0
472916,150.644144,2.013976,0.3023,5.81,2.24,0.072358,0.385529,filament,259,4,satellite,0
472881,149.461435,2.023753,0.2173,1.87,0.67,0.013825,0.008584,field,78,2,satellite,0
472816,150.110331,2.017545,0.8034,2.17,0.86,0.008874,0.023013,field,3086,2,satellite,0
472805,150.277843,2.016222,0.9238,4.38,1.85,0.003682,0.172311,filament,4396,12,satellite,0
472226,150.199139,2.016638,0.9644,2.15,0.93,0.003684,0.007944,field,5040,3,satellite,0
472757,149.694707,2.017075,1.1338,1.98,1.00,0.053840,0.136774,filament,6569,10,satellite,0
472614,150.109015,2.016041,0.8298,9.03,3.58,0.036045,0.050505,filament,3303,9,satellite,0
472578,150.609794,2.016428,0.7894,2.91,1.14,0.024019,0.010349,field,2946,4,satellite,0
472577,150.657648,2.016424,0.5763,3.73,1.57,0.061020,0.085858,filament,1461,4,satellite,0
472499,149.731862,2.016071,0.6560,1.50,0.63,0.001482,0.075598,filament,1905,2,satellite,0
472387,150.647354,2.015623,0.4368,5.16,2.10,0.363037,0.350152,cluster,737,26,satellite,0
472355,150.686198,2.015582,0.6603,2.92,1.22,0.028252,0.052554,filament,1953,2,satellite,0
472328,149.530375,2.016170,0.6226,5.70,2.44,0.194468,0.149700,cluster,1733,3,satellite,0
472322,149.494317,2.014805,0.5450,0.52,0.21,0.000116,0.000160,field,1293,2,satellite,0
472274,149.543939,2.016711,0.6686,2.42,1.00,0.023870,0.087130,filament,2030,3,satellite,0
472646,150.306786,2.016652,0.9914,3.90,1.67,0.355893,0.180800,cluster,5038,8,satellite,0
504849,149.761405,2.067643,1.0103,6.72,2.92,0.078948,0.132724,filament,5629,3,satellite,0
315069,150.241799,1.763521,0.9275,16.24,6.87,0.395434,0.403266,filament,4232,12,satellite,0
569810,150.414148,2.167108,1.0875,3.49,1.68,0.013355,0.294446,filament,6036,9,satellite,0
390358,150.111529,1.884458,1.1897,2.64,1.46,0.006545,0.042767,filament,6923,6,satellite,0
390313,150.032461,1.882866,0.4737,1.87,0.75,0.001623,0.000474,field,1003,2,satellite,0
390219,150.467108,1.884228,0.6583,8.16,3.41,0.698279,0.312906,cluster,1835,27,satellite,0
390139,149.738708,1.880854,0.5900,5.51,2.37,0.367758,0.274096,cluster,1473,12,satellite,0
390128,150.455460,1.883851,0.6710,14.01,5.80,0.690111,0.302733,cluster,1835,27,satellite,0
492226,150.211590,2.047853,0.9176,2.37,1.00,0.039138,0.041613,filament,4402,16,satellite,0
492161,150.462737,2.045780,0.4131,3.69,1.50,0.210624,0.487172,filament,713,40,satellite,0
492133,149.642393,2.048472,1.1121,2.32,1.13,0.106619,0.088021,field,6245,7,satellite,0
492094,149.779677,2.045549,0.7909,0.55,0.21,0.000063,0.001052,field,2947,2,satellite,0
390367,149.979438,1.885361,1.1869,6.84,3.77,0.111299,0.026511,field,7112,2,satellite,0
492065,150.239722,2.048372,1.1277,4.14,2.07,0.335161,0.133219,cluster,6354,3,satellite,0
491950,150.282854,2.047895,1.1531,5.26,2.74,0.192831,0.133777,cluster,6636,7,satellite,0
491878,149.956078,2.047066,0.9470,4.31,1.85,0.071085,0.070386,field,4646,3,satellite,0
491870,150.104298,2.047719,0.8383,1.48,0.59,0.011648,0.017198,field,3372,2,satellite,0
491769,149.688728,2.048703,0.9113,1.59,0.66,0.019238,0.026405,field,4177,4,satellite,0
491739,150.562095,2.044923,0.8763,3.17,1.29,0.091804,0.177843,filament,3521,15,satellite,0
491734,150.204056,2.046200,0.7400,2.84,1.13,0.038470,0.070064,filament,2646,5,satellite,0
491722,150.253058,2.048038,1.0832,6.53,3.14,0.466794,0.275576,cluster,6031,6,satellite,0
491720,149.501858,2.048237,0.8240,2.84,1.13,0.002287,0.001463,field,3307,3,satellite,0
514416,150.611279,2.080693,0.9824,14.39,6.20,0.458302,0.231296,cluster,4982,16,satellite,0
492033,150.542874,2.048368,1.1389,0.95,0.49,0.001102,0.007374,field,6456,3,satellite,0
390483,149.537161,1.884594,0.6086,2.62,1.12,0.059972,0.079152,filament,1614,15,satellite,0
514391,150.072182,2.080860,0.6601,2.58,1.08,0.015669,0.054148,filament,2037,2,satellite,0
390591,149.873556,1.883789,0.5808,4.29,1.82,0.039696,0.054751,filament,1459,2,satellite,0
390767,150.469016,1.884216,0.6445,8.39,3.52,0.699724,0.350162,cluster,1835,27,satellite,0
391750,150.257365,1.887096,0.4474,3.79,1.54,0.012084,0.147935,filament,849,2,satellite,0
391729,150.449408,1.884609,0.6448,15.32,6.43,0.842933,0.232015,cluster,1835,27,satellite,0
391710,149.747647,1.885044,0.8809,1.61,0.66,0.001362,0.002532,field,3970,2,satellite,0
391699,150.313206,1.886474,0.9021,3.52,1.46,0.059395,0.122418,filament,4171,13,satellite,0
391650,150.157043,1.885467,0.5268,9.04,3.58,0.222208,0.266358,filament,1103,48,satellite,0
391575,150.254661,1.887420,0.9235,5.44,2.30,0.107104,0.045203,field,4280,8,satellite,0
391525,150.123242,1.883737,0.5694,5.32,2.22,0.150118,0.094798,field,1103,48,satellite,0
391462,149.504435,1.886222,0.8831,1.60,0.66,0.000854,0.006711,field,3936,2,satellite,0
391444,149.966269,1.886690,0.7059,2.04,0.83,0.004274,0.003979,field,2424,4,satellite,0
390666,149.521622,1.885104,0.5294,10.94,4.33,0.137141,0.108002,field,1217,4,satellite,0
391233,149.568881,1.884753,0.6145,6.29,2.70,0.128086,0.156086,filament,1614,15,satellite,0
391106,150.455958,1.883062,0.6632,15.55,6.47,0.800895,0.298187,cluster,1835,27,satellite,0
390940,149.434111,1.885161,1.1846,2.74,1.51,0.124469,0.069543,field,6625,4,satellite,0
390936,149.595703,1.884045,0.6000,1.87,0.80,0.000000,0.019293,filament,1574,9,satellite,0
390934,149.957009,1.884501,0.7107,2.85,1.16,0.002609,0.002846,field,2424,4,satellite,0
390891,150.128683,1.885893,1.0249,2.44,1.07,0.022134,0.040280,filament,5666,2,satellite,0
390885,149.632088,1.882385,0.3527,3.21,1.29,0.134486,0.064887,field,478,5,satellite,0
390881,149.641406,1.884870,0.9028,2.86,1.19,0.039150,0.023591,field,4236,2,satellite,0
390868,149.750399,1.882996,0.5949,5.56,2.40,0.474394,0.221461,cluster,1473,12,satellite,0
390867,150.444781,1.882753,0.6410,15.81,6.66,0.743069,0.250665,cluster,1835,27,satellite,0
391218,150.098816,1.884868,0.8315,4.67,1.85,0.036504,0.034647,field,3230,4,satellite,0
391765,150.153209,1.887344,0.8499,2.85,1.14,0.087344,0.095714,filament,3640,3,satellite,0
514384,150.359897,2.082221,0.9709,4.44,1.92,0.095616,0.090895,field,4648,20,satellite,0
514320,149.469509,2.082174,0.9843,2.20,0.95,0.000516,0.006904,field,5316,4,satellite,0
513660,150.246557,2.079078,0.9273,5.31,2.25,0.106785,0.342727,filament,4292,31,satellite,0
513650,150.417681,2.077787,0.3299,8.80,3.48,0.443343,0.312940,cluster,246,67,satellite,0
513624,150.142284,2.079129,0.3616,5.98,2.39,0.236768,0.307788,filament,484,42,satellite,0
513623,150.236815,2.077963,0.9293,6.99,2.97,0.158796,0.381607,filament,4292,31,satellite,0
513553,150.218081,2.079290,1.0773,4.71,2.26,0.057094,0.291040,filament,5998,4,satellite,0
513467,149.755308,2.080202,0.4693,0.88,0.35,0.000000,0.000524,field,975,2,satellite,0
513455,150.745513,2.080746,0.8346,0.86,0.34,0.000010,0.000376,field,3240,4,satellite,0
513411,150.499793,2.077637,0.4420,29.03,11.79,0.799434,0.398892,cluster,713,40,satellite,0
608590,150.500951,2.223678,0.8068,37.12,14.70,0.738387,0.440736,cluster,2856,160,satellite,0
513716,149.818904,2.079633,1.1701,9.34,5.00,0.354389,0.167548,cluster,6857,3,satellite,0
608578,150.614003,2.224228,0.8784,2.32,0.95,0.002638,0.001732,field,3943,2,satellite,0
608571,149.737949,2.222726,1.0011,13.53,5.83,0.418272,0.473428,filament,5326,26,satellite,0
608538,150.539727,2.223352,1.0909,1.79,0.86,0.001555,0.036730,filament,6123,2,satellite,0
608537,149.880482,2.223134,0.8574,2.61,1.05,0.012113,0.011703,field,3745,2,satellite,0
608408,150.479897,2.223182,0.8126,13.01,5.15,0.574474,0.413700,cluster,2856,160,satellite,0
608405,150.215174,2.223578,0.9308,7.18,3.05,0.054939,0.075745,filament,4483,5,satellite,0
471517,150.545337,2.015130,0.8259,3.28,1.30,0.003316,0.005861,field,3305,2,satellite,0
471508,149.480676,2.014907,0.9601,7.79,3.36,0.428264,0.129435,cluster,4838,47,satellite,0
471471,150.486460,2.012835,0.3144,7.46,2.91,0.455058,0.432575,cluster,246,67,satellite,0
471447,149.568895,2.015457,1.0088,1.88,0.82,0.003333,0.024826,field,5571,2,satellite,0
608572,149.666426,2.223230,0.8911,7.28,3.00,0.110259,0.042915,field,4073,10,satellite,0
513728,150.525543,2.080331,0.8988,6.88,2.85,0.091708,0.074126,field,4180,5,satellite,0
514331,150.496317,2.080627,0.4328,27.31,11.11,0.762788,0.390374,cluster,713,40,satellite,0
513781,150.472980,2.078148,0.5410,13.96,5.59,0.491778,0.594622,filament,1327,25,satellite,0
513805,150.419612,2.080363,0.6550,0.91,0.38,0.000444,0.003342,field,1955,5,satellite,0
514306,150.431124,2.081802,0.6975,1.92,0.79,0.000635,0.004410,field,2331,3,satellite,0
514291,150.730369,2.081542,0.8292,1.03,0.41,0.000055,0.000547,field,3240,4,satellite,0
514243,150.348509,2.082554,1.1317,3.63,1.81,0.150030,0.262573,filament,6510,18,satellite,0
514235,150.572627,2.081560,0.8584,3.37,1.35,0.051778,0.180023,filament,3654,4,satellite,0
514223,149.909013,2.079481,0.6599,7.14,2.98,0.361500,0.333155,cluster,1907,43,satellite,0
514216,150.130677,2.079645,0.7159,7.32,2.97,0.060089,0.062386,filament,2278,19,satellite,0
514212,150.461064,2.081263,0.7944,3.35,1.32,0.020530,0.035816,filament,2948,3,satellite,0
514190,150.674751,2.081812,0.8536,2.79,1.11,0.090634,0.157184,filament,3588,5,satellite,0
