,id,ra,dec,photo_z,density,overdensity,s_cluster,s_filament,environment,group_id,n_g,galaxy_type
73,316456,150.37753600000002,1.7695049999999999,0.9145,8.07,3.38,0.134466,0.083301,field,4345.0,11.0,satellite
74,954038,150.114869,2.751833,0.7328,3.22,1.29,0.096611,0.074107,field,2567.0,22.0,satellite
77,954661,150.398926,2.751429,0.7903,20.41,8.04,0.5858869999999999,0.365035,cluster,2774.0,90.0,satellite
80,954538,150.238054,2.751576,0.9206,8.92,3.75,0.525234,0.162054,cluster,4375.0,16.0,satellite
83,954455,149.859794,2.749552,0.8499,4.72,1.89,0.048338,0.238483,filament,3571.0,10.0,satellite
84,954020,150.39943,2.75108,0.8061,16.23,6.43,0.627506,0.321193,cluster,2774.0,90.0,satellite
85,954417,150.490749,2.7524,1.1991,2.99,1.67,0.299358,0.325208,filament,7022.0,10.0,satellite
86,954265,149.90043799999998,2.751137,0.8498,8.3,3.32,0.18892899999999999,0.133898,cluster,3700.0,85.0,satellite
91,954095,150.332778,2.750131,1.1336,7.63,3.85,0.49323599999999995,0.43671800000000005,cluster,6489.0,17.0,satellite
92,954083,150.570185,2.749315,0.3248,4.12,1.63,0.23124499999999998,0.13456500000000002,cluster,342.0,48.0,satellite
93,954072,149.853723,2.7503040000000003,0.8626,11.39,4.59,0.135854,0.43933599999999995,filament,3571.0,10.0,satellite
99,504036,149.91978899999998,2.065419,0.6657,5.44,2.26,0.255807,0.31107399999999996,filament,1907.0,43.0,satellite
106,503826,150.411009,2.064639,0.3199,25.02,9.84,0.698575,0.6155520000000001,cluster,246.0,67.0,satellite
107,503788,150.454723,2.065841,0.8243,15.78,6.25,0.123662,0.064372,field,3239.0,10.0,satellite
109,503785,150.213226,2.064836,0.3696,18.11,7.26,0.141256,0.060152,cluster,484.0,42.0,satellite
110,473721,150.294346,2.0192330000000003,0.9272,3.54,1.5,0.024722,0.093077,filament,4396.0,12.0,satellite
112,473678,150.353397,2.023948,0.79,3.52,1.39,0.201483,0.244981,filament,2839.0,58.0,satellite
114,473661,150.50884299999998,2.0183150000000003,0.8688,4.43,1.79,0.025252,0.215677,filament,3793.0,11.0,satellite
115,473590,149.444227,2.018422,0.6643,2.07,0.86,0.163048,0.086511,cluster,2028.0,10.0,satellite
118,473430,150.362676,2.0171189999999997,0.3121,5.21,2.01,0.253217,0.509616,filament,246.0,67.0,satellite
119,503769,150.114874,2.066305,1.1991,0.64,0.36,0.0,3.5e-05,field,6700.0,19.0,satellite
120,504056,150.147311,2.064502,0.7074,16.04,6.55,0.16248900000000002,0.13630899999999999,cluster,2278.0,19.0,satellite
122,504075,150.46773100000001,2.0639950000000002,0.5485,24.72,10.11,0.684825,0.572466,cluster,1327.0,25.0,satellite
124,504816,150.504399,2.066958,0.5553,4.3,1.77,0.42655200000000004,0.458635,filament,1327.0,25.0,satellite
129,504718,150.49008600000002,2.0693759999999997,0.4143,12.33,5.0,0.7706310000000001,0.271473,cluster,713.0,40.0,satellite
130,504686,150.177391,2.067743,0.9176,2.07,0.87,0.0,0.136515,filament,4402.0,16.0,satellite
132,504635,150.09446699999998,2.066852,1.1849,2.49,1.37,0.026587,0.101417,filament,6700.0,19.0,satellite
133,504082,149.475067,2.066321,0.9711,3.5,1.52,0.010391,0.032309,filament,4838.0,47.0,satellite
134,504620,150.146165,2.064043,0.7091,17.41,7.11,0.115352,0.094569,field,2278.0,19.0,satellite
138,504417,150.684282,2.066265,0.331,5.92,2.34,0.29797199999999996,0.180575,cluster,350.0,12.0,satellite
139,504362,150.505354,2.065014,0.4211,12.88,5.24,0.681653,0.587621,cluster,713.0,40.0,satellite
144,504546,150.21266,2.06565,0.3734,18.19,7.29,0.058313,0.042426,field,484.0,42.0,satellite
151,471931,150.69711999999998,2.014201,0.4401,6.96,2.82,0.707118,0.29696100000000003,cluster,737.0,26.0,satellite
152,471922,150.36916399999998,2.015062,0.8213,12.96,5.13,0.37882,0.212908,cluster,2839.0,58.0,satellite
158,471833,149.429705,2.012371,0.6828,7.36,3.03,0.108,0.022231,field,2028.0,10.0,satellite
159,471803,150.476001,2.014234,0.6629,6.99,2.91,0.10785299999999999,0.185636,filament,1949.0,11.0,satellite
160,471741,150.330444,2.013227,0.3109,9.53,3.68,0.107428,0.479682,filament,246.0,67.0,satellite
167,895377,150.020361,2.659446,0.9064,3.89,1.62,0.040985,0.112844,filament,4098.0,15.0,satellite
169,472177,150.379748,2.014697,0.8388,7.59,3.02,0.037107999999999995,0.166079,filament,2839.0,58.0,satellite
171,472180,150.478651,2.014623,0.6599,8.55,3.57,0.22265900000000002,0.18470599999999998,cluster,1949.0,11.0,satellite
181,472805,150.277843,2.016222,0.9238,4.38,1.85,0.003682,0.172311,filament,4396.0,12.0,satellite
183,472757,149.694707,2.017075,1.1338,1.98,1.0,0.05384,0.136774,filament,6569.0,10.0,satellite
188,472387,150.647354,2.015623,0.4368,5.16,2.1,0.363037,0.350152,cluster,737.0,26.0,satellite
195,315069,150.241799,1.763521,0.9275,16.24,6.87,0.395434,0.40326599999999996,filament,4232.0,12.0,satellite
199,390219,150.467108,1.8842279999999998,0.6583,8.16,3.41,0.698279,0.312906,cluster,1835.0,27.0,satellite
200,390139,149.738708,1.880854,0.59,5.51,2.37,0.367758,0.274096,cluster,1473.0,12.0,satellite
201,390128,150.45546000000002,1.883851,0.671,14.01,5.8,0.6901109999999999,0.302733,cluster,1835.0,27.0,satellite
202,492226,150.21159,2.047853,0.9176,2.37,1.0,0.039138,0.041613,filament,4402.0,16.0,satellite
203,492161,150.462737,2.0457799999999997,0.4131,3.69,1.5,0.21062399999999998,0.48717200000000005,filament,713.0,40.0,satellite
212,491739,150.562095,2.044923,0.8763,3.17,1.29,0.091804,0.177843,filament,3521.0,15.0,satellite
216,514416,150.611279,2.080693,0.9824,14.39,6.2,0.45830200000000004,0.231296,cluster,4982.0,16.0,satellite
218,390483,149.537161,1.8845939999999999,0.6086,2.62,1.12,0.059972000000000004,0.079152,filament,1614.0,15.0,satellite
221,390767,150.46901599999998,1.884216,0.6445,8.39,3.52,0.699724,0.350162,cluster,1835.0,27.0,satellite
223,391729,150.449408,1.884609,0.6448,15.32,6.43,0.842933,0.232015,cluster,1835.0,27.0,satellite
225,391699,150.313206,1.8864740000000002,0.9021,3.52,1.46,0.059395,0.12241800000000001,filament,4171.0,13.0,satellite
226,391650,150.157043,1.8854669999999998,0.5268,9.04,3.58,0.222208,0.266358,filament,1103.0,48.0,satellite
228,391525,150.123242,1.883737,0.5694,5.32,2.22,0.150118,0.09479800000000001,field,1103.0,48.0,satellite
232,391233,149.568881,1.884753,0.6145,6.29,2.7,0.12808599999999998,0.156086,filament,1614.0,15.0,satellite
233,391106,150.455958,1.8830619999999998,0.6632,15.55,6.47,0.800895,0.298187,cluster,1835.0,27.0,satellite
240,390868,149.750399,1.882996,0.5949,5.56,2.4,0.474394,0.22146100000000002,cluster,1473.0,12.0,satellite
241,390867,150.444781,1.882753,0.641,15.81,6.66,0.743069,0.250665,cluster,1835.0,27.0,satellite
244,514384,150.359897,2.082221,0.9709,4.44,1.92,0.09561599999999999,0.090895,field,4648.0,20.0,satellite
246,513660,150.246557,2.079078,0.9273,5.31,2.25,0.10678499999999999,0.342727,filament,4292.0,31.0,satellite
247,513650,150.41768100000002,2.077787,0.3299,8.8,3.48,0.44334300000000004,0.31294,cluster,246.0,67.0,satellite
248,513624,150.14228400000002,2.079129,0.3616,5.98,2.39,0.23676799999999998,0.307788,filament,484.0,42.0,satellite
249,513623,150.23681499999998,2.077963,0.9293,6.99,2.97,0.158796,0.38160700000000003,filament,4292.0,31.0,satellite
253,513411,150.49979299999998,2.0776369999999997,0.442,29.03,11.79,0.799434,0.398892,cluster,713.0,40.0,satellite
254,608590,150.50095100000001,2.223678,0.8068,37.12,14.7,0.738387,0.44073599999999996,cluster,2856.0,160.0,satellite
257,608571,149.737949,2.2227259999999998,1.0011,13.53,5.83,0.41827200000000003,0.47342799999999996,filament,5326.0,26.0,satellite
260,608408,150.479897,2.223182,0.8126,13.01,5.15,0.5744739999999999,0.4137,cluster,2856.0,160.0,satellite
263,471508,149.480676,2.014907,0.9601,7.79,3.36,0.42826400000000003,0.129435,cluster,4838.0,47.0,satellite
264,471471,150.48646000000002,2.012835,0.3144,7.46,2.91,0.455058,0.432575,cluster,246.0,67.0,satellite
266,608572,149.666426,2.22323,0.8911,7.28,3.0,0.110259,0.042914999999999995,field,4073.0,10.0,satellite
268,514331,150.496317,2.0806270000000002,0.4328,27.31,11.11,0.762788,0.390374,cluster,713.0,40.0,satellite
269,513781,150.47298,2.078148,0.541,13.96,5.59,0.491778,0.594622,filament,1327.0,25.0,satellite
273,514243,150.348509,2.082554,1.1317,3.63,1.81,0.15003,0.262573,filament,6510.0,18.0,satellite
275,514223,149.909013,2.079481,0.6599,7.14,2.98,0.3615,0.33315500000000003,cluster,1907.0,43.0,satellite
276,514216,150.130677,2.079645,0.7159,7.32,2.97,0.060089,0.062386000000000004,filament,2278.0,19.0,satellite
279,514140,150.129765,2.082921,0.3734,4.44,1.78,0.054714,0.018165,field,484.0,42.0,satellite
280,513802,150.44671499999998,2.079955,0.9536,4.28,1.84,0.019681,0.12465599999999999,filament,4713.0,12.0,satellite
288,513848,150.524644,2.0776689999999998,0.3178,5.36,2.11,0.07823300000000001,0.433375,filament,246.0,67.0,satellite
291,514054,150.256774,2.081799,0.9455,3.06,1.31,0.0,0.156859,filament,4292.0,31.0,satellite
293,391794,149.58211799999998,1.885925,0.6298,6.29,2.69,0.24481,0.532395,filament,1761.0,11.0,satellite
302,568596,150.184782,2.161673,0.6698,14.27,5.91,0.632684,0.344983,cluster,1909.0,27.0,satellite
303,538146,150.437158,2.120734,0.8934,4.42,1.83,0.22455300000000003,0.130138,cluster,3121.0,61.0,satellite
304,568846,150.211824,2.163862,0.3522,3.27,1.31,0.013113,0.09512899999999999,filament,460.0,10.0,satellite
306,538096,149.91175900000002,2.116332,0.3514,6.01,2.4,0.08479099999999999,0.317218,filament,379.0,157.0,satellite
308,538008,149.918341,2.117232,0.343,5.64,2.25,0.07285,0.19050799999999998,filament,379.0,157.0,satellite
309,538007,150.133055,2.118166,0.9483,12.59,5.4,0.46690699999999996,0.350722,cluster,4559.0,13.0,satellite
310,538000,150.494653,2.119176,0.8557,3.96,1.59,0.080838,0.267244,filament,3246.0,35.0,satellite
312,537942,150.136698,2.117636,0.9469,10.74,4.61,0.345576,0.343235,cluster,4559.0,13.0,satellite
315,538135,150.143656,2.1200509999999997,0.9598,5.27,2.27,0.090463,0.319096,filament,4559.0,13.0,satellite
319,569029,150.161488,2.165085,0.6629,8.25,3.43,0.45325200000000004,0.390875,cluster,1909.0,27.0,satellite
320,569803,149.609125,2.166809,0.951,3.64,1.56,2.5e-05,0.32452800000000004,filament,4133.0,106.0,satellite
322,569767,150.19983200000001,2.1622630000000003,0.67,16.78,6.94,0.627738,0.381701,cluster,1909.0,27.0,satellite
323,569755,150.527755,2.165619,0.8086,4.18,1.66,0.047901,0.31173,filament,2856.0,160.0,satellite
331,569516,150.333204,2.165931,0.8137,9.2,3.64,0.050144,0.096499,filament,3051.0,17.0,satellite
332,569497,150.03193100000001,2.162936,0.9307,8.22,3.5,0.127028,0.396721,filament,3455.0,121.0,satellite
335,569310,149.995201,2.163663,0.8459,7.73,3.09,0.07661699999999999,0.07487200000000001,field,3247.0,10.0,satellite
336,569221,150.032326,2.165595,0.9353,7.25,3.1,0.203827,0.41569399999999995,filament,3455.0,121.0,satellite
338,569110,150.155306,2.16482,0.6679,6.82,2.82,0.228332,0.5243220000000001,filament,1909.0,27.0,satellite
339,569076,149.733337,2.164872,0.9354,3.85,1.65,0.018598,0.102368,filament,4651.0,33.0,satellite
345,536730,150.37201000000002,2.1168810000000002,0.8134,3.61,1.43,0.009358,0.032677,filament,3051.0,17.0,satellite
348,536665,150.490061,2.117216,0.8502,3.91,1.56,0.040605,0.160083,filament,3246.0,35.0,satellite
351,536438,150.003816,2.1145669999999996,0.6664,4.85,2.02,0.040464,0.32058600000000004,filament,2040.0,11.0,satellite
352,536415,149.854039,2.113336,0.66,3.17,1.33,0.008162,0.15870599999999999,filament,1907.0,43.0,satellite
354,536382,150.104654,2.1160240000000003,0.9611,4.17,1.8,0.111536,0.248598,filament,4476.0,17.0,satellite
357,629565,149.813661,2.252424,1.1055,5.35,2.61,0.217815,0.45306199999999996,filament,6215.0,12.0,satellite
358,629535,149.994709,2.251933,0.3793,3.78,1.52,0.002669,0.008912999999999999,field,465.0,37.0,satellite
359,629501,150.29532,2.253981,0.988,5.31,2.28,0.164914,0.27482,filament,5066.0,22.0,satellite
362,391943,149.605734,1.887893,1.1561,1.33,0.69,0.011346,0.101773,filament,6448.0,16.0,satellite
366,537845,150.55516,2.117157,0.4293,3.22,1.32,0.235256,0.10418599999999999,cluster,713.0,40.0,satellite
370,537806,149.80155200000002,2.115557,0.353,8.86,3.55,0.61083,0.32479600000000003,cluster,379.0,157.0,satellite
371,537755,149.645377,2.118621,1.1948,6.03,3.37,0.24488600000000002,0.47937799999999997,filament,6581.0,14.0,satellite
372,537742,150.09322,2.118193,0.9593,2.69,1.16,0.009531,0.21039000000000002,filament,4476.0,17.0,satellite
375,537719,149.617617,2.115784,0.9586,13.77,5.93,0.281174,0.392474,filament,4562.0,37.0,satellite
376,537670,150.590595,2.118516,0.731,9.31,3.75,0.142697,0.048819,field,2582.0,15.0,satellite
379,537473,150.36125900000002,2.118041,0.907,7.62,3.17,0.135996,0.045642,field,4124.0,10.0,satellite
382,537357,150.528147,2.1155009999999996,0.8497,5.31,2.12,0.087063,0.212313,filament,3246.0,35.0,satellite
387,537124,149.967861,2.117435,0.6739,4.46,1.84,0.127772,0.455032,filament,1907.0,43.0,satellite
389,537449,149.992974,2.118208,0.6721,4.11,1.7,0.0008539999999999999,0.443334,filament,2040.0,11.0,satellite
391,471434,150.381846,2.014257,0.8313,8.98,3.56,0.10616800000000001,0.163245,filament,2839.0,58.0,satellite
392,504866,150.440046,2.067566,0.9603,7.83,3.38,0.108128,0.113936,filament,4713.0,12.0,satellite
393,504938,149.897234,2.066464,0.6568,4.52,1.9,0.24424,0.26205,filament,1907.0,43.0,satellite
397,926865,150.32249299999998,2.706893,1.1643,1.28,0.68,0.0,0.00312,field,6489.0,17.0,satellite
398,926833,149.91196000000002,2.707637,0.8931,20.95,8.66,0.691814,0.623049,cluster,3700.0,85.0,satellite
399,926694,150.46676499999998,2.708055,0.8191,8.82,3.49,0.018539,0.055113,filament,2774.0,90.0,satellite
400,926670,150.117238,2.706828,0.7073,7.85,3.21,0.032744999999999996,0.030413,field,2091.0,24.0,satellite
403,927031,149.716671,2.705636,0.854,13.98,5.59,0.506634,0.689958,filament,3420.0,22.0,satellite
409,926355,150.62223799999998,2.7066060000000003,0.6323,4.56,1.95,0.281215,0.273485,cluster,1802.0,16.0,satellite
410,926338,150.150809,2.705038,0.6667,2.07,0.86,0.000165,0.054172000000000005,filament,2091.0,24.0,satellite
414,926619,150.135234,2.705093,0.679,4.76,1.96,0.026652,0.090864,filament,2091.0,24.0,satellite
415,927158,149.711454,2.7077880000000003,0.86,12.36,4.96,0.390287,0.575137,filament,3420.0,22.0,satellite
417,927190,150.14111200000002,2.70717,0.7302,4.18,1.69,0.102254,0.090142,field,2567.0,22.0,satellite
424,955238,150.325053,2.752745,0.4957,8.23,3.28,0.22298,0.186607,cluster,1071.0,19.0,satellite
426,955212,149.901828,2.7520279999999997,0.8592,10.57,4.25,0.284339,0.083103,cluster,3700.0,85.0,satellite
432,955028,150.692385,2.752599,0.6002,2.05,0.88,0.251838,0.272025,filament,1601.0,20.0,satellite
436,954854,150.425402,2.752873,0.7907,9.12,3.59,0.694649,0.406671,cluster,2774.0,90.0,satellite
437,954776,150.398324,2.750565,0.3339,3.61,1.44,0.041551,0.07040199999999999,filament,396.0,13.0,satellite
438,954771,150.462019,2.75057,0.6108,12.04,5.17,0.400853,0.565571,filament,1652.0,10.0,satellite
440,955578,150.398671,2.752494,0.79,21.02,8.28,0.580178,0.381556,cluster,2774.0,90.0,satellite
442,925786,149.922089,2.704729,0.8931,17.21,7.12,0.469866,0.502184,filament,3700.0,85.0,satellite
444,925078,150.114835,2.704319,0.7538,6.74,2.66,0.207923,0.139296,cluster,2567.0,22.0,satellite
447,895591,149.98043700000002,2.659239,0.9091,4.71,1.96,0.0,0.42029799999999995,filament,3953.0,33.0,satellite
448,895568,150.036199,2.6579919999999997,0.9543,2.49,1.07,0.0034100000000000003,0.031893,filament,4098.0,15.0,satellite
450,895476,150.740644,2.65835,0.619,8.71,3.73,0.165829,0.49656000000000006,filament,1599.0,24.0,satellite
456,631563,150.522648,2.257509,0.8472,4.96,1.98,0.11302000000000001,0.402355,filament,2856.0,160.0,satellite
457,631559,149.413964,2.255243,0.8256,7.1,2.81,0.092429,0.027567,field,3183.0,14.0,satellite
458,631523,150.293505,2.258506,0.853,2.03,0.81,0.0070290000000000005,0.138953,filament,3538.0,10.0,satellite
459,631516,150.679517,2.2576669999999996,0.9724,7.27,3.15,0.101005,0.36772699999999997,filament,4990.0,11.0,satellite
460,631484,149.725277,2.256351,0.7,14.21,5.83,0.141544,0.126383,field,2283.0,11.0,satellite
461,631413,149.985207,2.25527,0.3756,4.25,1.7,0.0041,0.006618000000000001,field,465.0,37.0,satellite
462,631373,150.31445,2.257743,1.144,2.38,1.22,0.086801,0.33094,filament,6411.0,13.0,satellite
463,631634,149.661134,2.256964,0.9089,16.59,6.91,0.6002970000000001,0.208456,cluster,4133.0,106.0,satellite
467,925200,149.89563700000002,2.705363,0.9096,5.29,2.21,0.249594,0.46840699999999996,filament,4338.0,10.0,satellite
470,925737,149.714799,2.70517,0.875,9.94,4.04,0.15600799999999998,0.250987,filament,3420.0,22.0,satellite
476,925443,149.920144,2.703195,1.1106,6.49,3.17,0.462933,0.459232,cluster,6279.0,15.0,satellite
477,925178,150.45035900000002,2.7033009999999997,0.8074,4.05,1.6,0.015203999999999999,0.141344,filament,2774.0,90.0,satellite
481,925261,150.147772,2.702195,0.3393,17.76,7.08,0.550567,0.42770600000000003,cluster,357.0,65.0,satellite
482,925241,150.13863500000002,2.7029419999999997,0.3423,19.87,7.92,0.639893,0.37340500000000004,cluster,357.0,65.0,satellite
484,925229,149.919078,2.703616,0.8828,21.9,8.97,0.536462,0.542804,filament,3700.0,85.0,satellite
496,407557,149.760238,1.9125459999999999,0.6056,2.02,0.87,0.013019999999999999,0.085721,filament,1473.0,12.0,satellite
498,407461,149.443653,1.910379,0.9322,3.19,1.36,0.035664,0.305554,filament,4537.0,31.0,satellite
505,407129,150.428516,1.9133080000000002,0.3151,10.64,4.15,0.138009,0.10321500000000002,cluster,278.0,10.0,satellite
511,406874,149.431996,1.9095119999999999,0.5927,4.73,2.04,0.232206,0.39407,filament,1434.0,20.0,satellite
512,407243,149.45247700000002,1.9109770000000001,0.9408,5.53,2.37,0.1056,0.302641,filament,4537.0,31.0,satellite
519,440912,150.09775,1.9641369999999998,0.8274,9.44,3.74,0.016462,0.078672,filament,3044.0,16.0,satellite
523,440786,150.340772,1.96527,1.1869,7.44,4.1,0.49268,0.353823,cluster,6808.0,24.0,satellite
534,440226,149.54681100000002,1.964632,1.189,1.62,0.9,0.033464999999999995,0.049686,filament,6924.0,10.0,satellite
538,955634,150.515824,2.751072,0.6007,6.62,2.84,0.162451,0.668976,filament,1602.0,16.0,satellite
541,505486,149.934851,2.068161,0.6703,5.46,2.26,0.241577,0.369652,filament,1907.0,43.0,satellite
543,505467,150.253866,2.067544,0.9253,4.73,2.0,0.044784,0.341008,filament,4292.0,31.0,satellite
546,505415,150.14135,2.068366,0.696,21.61,8.88,0.5371319999999999,0.201648,cluster,2278.0,19.0,satellite
547,505401,150.211937,2.0660580000000004,0.9405,6.76,2.9,0.34672800000000004,0.198727,cluster,4402.0,16.0,satellite
550,405442,150.444918,1.907448,1.1883,10.94,6.07,0.566238,0.470749,cluster,6806.0,11.0,satellite
551,505288,150.129131,2.065461,0.3549,7.51,3.01,0.13162100000000002,0.203375,filament,484.0,42.0,satellite
553,955782,149.785829,2.7534330000000002,0.9125,9.49,3.95,0.32048000000000004,0.13989000000000001,cluster,4229.0,10.0,satellite
554,955773,150.721706,2.7540419999999997,0.6123,10.26,4.4,0.43201999999999996,0.190736,cluster,1601.0,20.0,satellite
555,955767,150.547045,2.752548,0.3491,6.81,2.72,0.215389,0.193546,cluster,342.0,48.0,satellite
557,955750,150.446874,2.750902,0.79,31.94,12.58,0.576887,0.588809,filament,2774.0,90.0,satellite
560,955692,150.625419,2.7527470000000003,0.2002,7.04,2.47,0.393421,0.44218,filament,69.0,18.0,satellite
561,955834,150.435981,2.754742,0.8124,13.58,5.38,0.414876,0.48264799999999997,filament,2774.0,90.0,satellite
571,406521,149.48337,1.908779,0.2976,3.33,1.28,0.065762,0.322391,filament,243.0,12.0,satellite
578,406129,150.122149,1.909068,0.7276,8.15,3.28,0.069616,0.021165,field,2468.0,11.0,satellite
590,459784,149.549585,1.993989,0.8703,19.25,7.8,0.613114,0.41602100000000003,cluster,3852.0,19.0,satellite
593,459712,150.150474,1.996407,1.1962,13.27,7.42,0.332967,0.45392299999999997,filament,6403.0,25.0,satellite
598,459521,149.47831100000002,1.9957189999999998,0.9858,7.66,3.3,0.46359300000000003,0.40515,cluster,4838.0,47.0,satellite
599,459787,150.664974,1.993789,0.4296,6.74,2.75,0.596762,0.139682,cluster,737.0,26.0,satellite
602,426167,149.42881,1.938954,0.59,5.62,2.42,0.568549,0.417484,cluster,1434.0,20.0,satellite
612,425945,149.433315,1.940179,0.8541,3.39,1.35,0.437729,0.350055,cluster,3645.0,12.0,satellite
613,459940,149.766921,1.995032,0.4842,3.07,1.23,0.013534000000000001,0.042339,filament,941.0,12.0,satellite
615,461130,149.48986200000002,1.999137,0.9782,9.22,3.97,0.745208,0.21606799999999998,cluster,4838.0,47.0,satellite
616,461118,150.735495,1.9959360000000002,0.4322,5.1,2.08,0.19396,0.326324,filament,737.0,26.0,satellite
619,461062,150.368305,1.9991130000000001,0.8407,12.98,5.17,0.11441400000000002,0.261262,filament,2839.0,58.0,satellite
624,459960,150.150756,1.996272,1.1833,15.0,8.27,0.226491,0.401384,filament,6403.0,25.0,satellite
625,460815,150.36886,1.9990169999999998,0.7963,14.01,5.52,0.553303,0.295584,cluster,2839.0,58.0,satellite
627,460686,149.503327,1.9971290000000002,0.974,9.29,4.01,0.545559,0.344642,cluster,4838.0,47.0,satellite
630,460386,150.10876399999998,1.9973580000000002,1.1921,6.98,3.87,0.20900500000000002,0.278549,filament,6403.0,25.0,satellite
636,461196,149.429685,1.997626,0.6714,6.18,2.56,0.200811,0.098243,cluster,2028.0,10.0,satellite
654,505070,150.197405,2.0676189999999997,0.8085,5.07,2.01,0.10883,0.17802,filament,3118.0,26.0,satellite
655,505046,150.070079,2.067732,1.1556,1.23,0.64,0.074916,0.058401,field,6700.0,19.0,satellite
672,425458,150.337632,1.9412150000000001,1.1717,2.38,1.27,0.40735,0.296976,cluster,6808.0,24.0,satellite
674,425397,150.07083,1.940623,0.8012,2.26,0.89,0.020225,0.017571,field,3044.0,16.0,satellite
680,425176,149.74530900000002,1.938439,0.3774,3.67,1.47,0.008381999999999999,0.01835,filament,531.0,12.0,satellite
681,425156,149.46851999999998,1.9412669999999999,0.3007,4.49,1.73,0.101329,0.264374,filament,243.0,12.0,satellite
685,631219,149.82886000000002,2.2579919999999998,1.1702,4.7,2.51,0.178474,0.17433900000000002,field,6937.0,11.0,satellite
686,461197,150.072177,1.996572,0.3551,3.42,1.37,0.0032869999999999996,0.016528,filament,484.0,42.0,satellite
689,601113,149.804233,2.213176,1.1239,6.53,3.25,0.197431,0.378375,filament,6212.0,21.0,satellite
692,601027,149.81127,2.211818,1.161,8.48,4.46,0.5717399999999999,0.286985,cluster,6212.0,21.0,satellite
693,601018,150.01160900000002,2.2119720000000003,0.9285,5.61,2.39,0.24359899999999998,0.291292,filament,3455.0,121.0,satellite
696,600858,150.50763700000002,2.210787,0.8294,15.55,6.17,0.727271,0.419996,cluster,2856.0,160.0,satellite
